num_blocks,trial,time_ms,throughput
1,1,0.155328,2806963.25
1,2,0.067584,6451231.00
1,3,0.065536,6652832.00
1,4,0.065248,6682197.00
1,5,0.065536,6652832.00
1,6,0.065536,6652832.00
1,7,0.080032,5447821.00
1,8,0.065536,6652832.00
1,9,0.064128,6798902.50
1,10,0.064096,6802296.50
1,11,0.065344,6672380.00
1,12,0.064928,6715130.00
1,13,0.067872,6423856.50
1,14,0.073696,5916196.50
1,15,0.067584,6451231.00
1,16,0.077824,5602385.00
1,17,0.074976,5815194.00
1,18,0.081312,5362062.50
1,19,0.067872,6423856.50
1,20,0.192512,2264793.75
1,21,0.110976,3928777.25
1,22,0.110592,3942419.00
1,23,0.108544,4016804.25
1,24,0.108576,4015620.25
1,25,0.104064,4189729.25
1,26,0.074464,5855178.50
1,27,0.065536,6652832.00
1,28,0.065184,6688758.50
1,29,0.064320,6778607.50
1,30,0.067904,6420829.00
1,avg,0.079763,5539915.50
2,1,0.065824,6623723.50
2,2,0.065440,6662592.00
2,3,0.065504,6656082.00
2,4,0.064512,6758432.50
2,5,0.066880,6519138.00
2,6,0.065504,6656082.00
2,7,0.065088,6698624.00
2,8,0.067584,6451231.00
2,9,0.064960,6711822.00
2,10,0.073824,5905938.00
2,11,0.072288,6031430.00
2,12,0.076544,5696070.50
2,13,0.073952,5895716.50
2,14,0.096416,4522071.00
2,15,0.069632,6261489.00
2,16,0.071680,6082589.50
2,17,0.070048,6224304.00
2,18,0.073216,5954983.00
2,19,0.069504,6273020.50
2,20,0.069632,6261489.00
2,21,0.068992,6319573.50
2,22,0.066336,6572600.50
2,23,0.066432,6563102.50
2,24,0.080768,5398177.50
2,25,0.067584,6451231.00
2,26,0.067904,6420829.00
2,27,0.066304,6575772.50
2,28,0.073088,5965411.50
2,29,0.066176,6588491.50
2,30,0.067584,6451231.00
2,avg,0.067716,6069460.50
4,1,0.067808,6429919.50
4,2,0.066528,6553631.50
4,3,0.069024,6316643.50
4,4,0.066464,6559942.00
4,5,0.068896,6328378.50
4,6,0.067296,6478839.50
4,7,0.068224,6390713.00
4,8,0.075264,5792942.50
4,9,0.083232,5238370.00
4,10,0.075776,5753800.00
4,11,0.088576,4922327.00
4,12,0.074496,5852663.50
4,13,0.069408,6281696.50
4,14,0.068256,6387717.00
4,15,0.067584,6451231.00
4,16,0.066848,6522259.50
4,17,0.067392,6469610.50
4,18,0.069312,6290397.00
4,19,0.066336,6572600.50
4,20,0.068000,6411764.50
4,21,0.067424,6466540.00
4,22,0.067840,6426886.50
4,23,0.067232,6485007.50
4,24,0.068096,6402725.50
4,25,0.074272,5870314.50
4,26,0.066240,6582126.00
4,27,0.067008,6506685.50
4,28,0.064032,6809094.50
4,29,0.065344,6672380.00
4,30,0.067584,6451231.00
4,avg,0.067413,6086401.00
8,1,0.065696,6636629.00
8,2,0.065536,6652832.00
8,3,0.067712,6439035.50
8,4,0.065536,6652832.00
8,5,0.065408,6665851.50
8,6,0.065504,6656082.00
8,7,0.065536,6652832.00
8,8,0.065536,6652832.00
8,9,0.065568,6649585.50
8,10,0.067456,6463472.50
8,11,0.065920,6614077.50
8,12,0.065760,6630170.00
8,13,0.065888,6617290.00
8,14,0.065632,6643101.00
8,15,0.065536,6652832.00
8,16,0.067008,6506685.50
8,17,0.065536,6652832.00
8,18,0.065536,6652832.00
8,19,0.066944,6512906.00
8,20,0.072512,6012797.50
8,21,0.065536,6652832.00
8,22,0.073792,5908499.00
8,23,0.074208,5875377.00
8,24,0.067872,6423856.50
8,25,0.073056,5968024.50
