num_blocks,trial,time_ms,throughput
1,1,0.217344,2006036.50
1,2,0.069536,6270133.50
1,3,0.065568,6649585.50
1,4,0.067584,6451231.00
1,5,0.065504,6656082.00
1,6,0.063936,6819319.50
1,7,0.065632,6643101.00
1,8,0.067552,6454287.00
1,9,0.070656,6170742.50
1,10,0.066880,6519138.00
1,11,0.069568,6267249.50
1,12,0.069600,6264368.00
1,13,0.069056,6313716.50
1,14,0.067200,6488095.50
1,15,0.068896,6328378.50
1,16,0.067200,6488095.50
1,17,0.067072,6500477.50
1,18,0.068256,6387717.00
1,19,0.067584,6451231.00
1,20,0.066272,6578947.50
1,21,0.066240,6582126.00
1,22,0.066016,6604459.50
1,23,0.067584,6451231.00
1,24,0.067584,6451231.00
1,25,0.067648,6445128.00
1,26,0.067584,6451231.00
1,27,0.067584,6451231.00
1,28,0.067200,6488095.50
1,29,0.066624,6544188.00
1,30,0.067584,6451231.00
1,avg,0.070082,6117035.50
2,1,0.066240,6582126.00
2,2,0.077856,5600082.50
2,3,0.068640,6351981.00
2,4,0.067424,6466540.00
2,5,0.065728,6633398.00
2,6,0.069568,6267249.50
2,7,0.068832,6334263.00
2,8,0.069216,6299122.00
2,9,0.088064,4950945.00
2,10,0.068032,6408749.50
2,11,0.069632,6261489.00
2,12,0.068608,6354944.00
2,13,0.067584,6451231.00
2,14,0.067584,6451231.00
2,15,0.065920,6614077.50
2,16,0.067296,6478839.50
2,17,0.070112,6218621.50
2,18,0.067392,6469610.50
2,19,0.068768,6340158.00
2,20,0.070848,6154020.00
2,21,0.066240,6582126.00
2,22,0.067584,6451231.00
2,23,0.067584,6451231.00
2,24,0.067584,6451231.00
2,25,0.066496,6556785.00
2,26,0.067136,6494280.50
2,27,0.067552,6454287.00
2,28,0.067264,6481922.00
2,29,0.066816,6525383.00
2,30,0.067552,6454287.00
2,avg,0.066618,6148111.50
4,1,0.073408,5939407.00
4,2,0.069600,6264368.00
4,3,0.069632,6261489.00
4,4,0.067584,6451231.00
4,5,0.067584,6451231.00
4,6,0.069632,6261489.00
4,7,0.067584,6451231.00
4,8,0.070080,6221461.50
4,9,0.067584,6451231.00
4,10,0.067584,6451231.00
