num_blocks,trial,time_ms,throughput
1,1,1.066432,408839.94
1,2,0.739296,589750.25
1,3,0.742720,587031.44
1,4,0.731136,596332.25
1,5,0.743872,586122.38
1,6,0.753472,578654.56
1,7,0.747520,583262.00
1,8,0.744928,585291.44
1,9,0.742592,587132.69
1,10,0.739008,589980.06
1,avg,0.775098,569239.69
2,1,0.749440,1163535.50
2,2,0.799456,1090741.62
2,3,0.812864,1072750.25
2,4,0.790528,1103060.25
2,5,0.739328,1179449.38
2,6,0.742688,1174113.50
2,7,0.749696,1163138.12
2,8,0.754400,1155885.38
2,9,0.748288,1165326.75
2,10,0.737312,1182674.38
2,avg,0.762400,1145067.50
4,1,0.739904,2357062.50
4,2,0.739328,2358898.75
4,3,0.753664,2314028.50
4,4,0.738720,2360840.25
4,5,0.744864,2341367.00
4,6,0.736352,2368432.50
4,7,0.745856,2338253.00
4,8,0.752192,2318556.75
4,9,0.740768,2354313.25
4,10,0.749792,2325978.50
4,avg,0.744144,2343773.25
8,1,0.738368,4723932.00
8,2,0.768000,4541666.50
8,3,0.843936,4133014.50
8,4,0.786048,4437388.00
8,5,0.741376,4704765.50
8,6,0.757760,4603041.00
8,7,0.747424,4666695.00
8,8,0.747520,4666096.00
8,9,0.737440,4729876.00
8,10,0.732608,4761072.50
8,avg,0.760048,4596755.00
16,1,0.737824,9454829.00
16,2,0.743744,9379571.00
16,3,0.728544,9575262.00
16,4,0.736992,9465503.00
16,5,0.733728,9507610.00
16,6,0.729824,9558469.00
16,7,0.730720,9546748.00
16,8,0.739872,9428658.00
16,9,0.735168,9488988.00
16,10,0.735552,9484034.00
16,avg,0.735197,9488966.00
32,1,0.737472,18918686.00
32,2,0.741248,18822310.00
32,3,0.747328,18669180.00
32,4,0.841728,16575427.00
32,5,0.766080,18212196.00
32,6,0.767968,18167424.00
32,7,0.768928,18144742.00
32,8,0.791584,17625418.00
32,9,0.761600,18319326.00
32,10,0.774304,18018764.00
32,avg,0.769824,18147348.00
