num_blocks,trial,time_ms,throughput
1,1,1.228096,355021.12
1,2,0.741728,587816.56
1,3,0.748704,582339.62
1,4,0.754112,578163.44
1,5,0.744896,585316.62
1,6,0.747584,583212.06
1,7,0.738304,590542.62
1,8,0.741056,588349.56
1,9,0.755712,576939.38
1,10,0.747520,583262.00
1,avg,0.794771,561096.31
2,1,0.741248,1176394.38
2,2,0.749568,1163336.75
2,3,0.741536,1175937.50
2,4,0.791776,1101321.62
2,5,0.755104,1154807.75
2,6,0.743168,1173355.12
2,7,0.744288,1171589.50
2,8,0.756064,1153341.50
2,9,0.751296,1160661.00
2,10,0.738624,1180573.62
2,avg,0.751267,1161131.88
4,1,0.735232,2372040.25
4,2,0.736608,2367609.25
4,3,0.739712,2357674.50
4,4,0.747232,2333947.25
4,5,0.747328,2333647.50
4,6,0.741056,2353398.25
4,7,0.740128,2356349.25
4,8,0.743136,2346811.50
4,9,0.751616,2320333.75
4,10,0.738688,2360942.75
4,avg,0.742074,2350275.25
8,1,0.741376,4704765.50
8,2,0.740768,4708626.50
8,3,0.739744,4715145.00
8,4,0.743232,4693016.50
8,5,0.782336,4458442.50
8,6,0.738912,4720454.00
8,7,0.744640,4684142.50
8,8,0.737152,4731724.00
8,9,0.748448,4660310.50
8,10,0.741472,4704156.00
8,avg,0.745808,4678078.50
16,1,0.745760,9354215.00
16,2,0.747296,9334989.00
16,3,0.736192,9475789.00
16,4,0.746816,9340989.00
16,5,0.734080,9503051.00
16,6,0.738944,9440499.00
16,7,0.740448,9421323.00
16,8,0.742272,9398172.00
16,9,0.755968,9227904.00
16,10,0.738880,9441317.00
16,avg,0.742666,9393825.00
32,1,0.739328,18871190.00
32,2,0.737312,18922790.00
32,3,0.741376,18819062.00
32,4,0.745760,18708430.00
32,5,0.734496,18995338.00
32,6,0.739744,18860580.00
32,7,0.742112,18800396.00
32,8,0.743424,18767218.00
32,9,0.749568,18613388.00
32,10,0.733184,19029330.00
32,avg,0.740630,18838772.00
