num_blocks,trial,time_ms,throughput
1,1,1.036416,420680.47
1,2,0.720512,605125.31
1,3,0.734336,593733.62
1,4,0.743136,586702.88
1,5,0.731424,596097.50
1,6,0.739488,589597.12
1,7,0.729984,597273.38
1,8,0.741376,588095.69
1,9,0.744480,585643.69
1,10,0.736160,592262.56
1,avg,0.765731,575521.19
2,1,0.736768,1183547.62
2,2,0.751840,1159821.25
2,3,0.733184,1189333.12
2,4,0.746528,1168074.00
2,5,0.739328,1179449.38
2,6,0.735520,1185555.88
2,7,0.732704,1190112.25
2,8,0.735360,1185813.75
2,9,0.731360,1192299.25
2,10,0.732608,1190268.12
2,avg,0.737520,1182427.50
4,1,0.728768,2393079.75
4,2,0.738432,2361761.25
4,3,0.741376,2352382.75
4,4,0.731136,2385329.00
4,5,0.728000,2395604.25
4,6,0.747232,2333947.25
4,7,0.731264,2384911.50
4,8,0.745472,2339457.25
4,9,0.727040,2398767.50
4,10,0.737696,2364117.50
4,avg,0.735642,2370936.00
8,1,0.724224,4816189.50
8,2,0.733184,4757332.50
8,3,0.739264,4718206.00
8,4,0.733184,4757332.50
8,5,0.747296,4667494.50
8,6,0.726816,4799013.50
8,7,0.732832,4759617.50
8,8,0.747744,4664698.00
8,9,0.732544,4761489.00
8,10,0.739776,4714940.50
8,avg,0.735686,4741631.00
16,1,0.732832,9519235.00
16,2,0.734016,9503880.00
16,3,0.735488,9484859.00
16,4,0.736896,9466736.00
16,5,0.741376,9409531.00
16,6,0.728096,9581154.00
16,7,0.737888,9454010.00
16,8,0.739680,9431105.00
16,9,0.725568,9614537.00
16,10,0.736160,9476201.00
16,avg,0.734800,9494125.00
32,1,0.732960,19035146.00
32,2,0.739776,18859762.00
32,3,0.731136,19082632.00
32,4,0.759008,18381888.00
32,5,0.728608,19148842.00
32,6,0.733024,19033484.00
32,7,0.734112,19005274.00
32,8,0.741056,18827186.00
32,9,0.737216,18925254.00
32,10,0.751424,18567414.00
32,avg,0.738832,18886686.00
