num_blocks,trial,time_ms,throughput
1,1,1.097696,397195.62
1,2,0.754496,577869.25
1,3,0.765952,569226.25
1,4,0.770912,565563.94
1,5,0.765120,569845.25
1,6,0.749568,581668.38
1,7,0.759808,573829.19
1,8,0.769856,566339.69
1,9,0.788416,553007.56
1,10,0.776992,561138.31
1,avg,0.799882,551568.38
2,1,0.784192,1111972.62
2,2,0.769088,1133810.50
2,3,0.748352,1165227.12
2,4,0.766016,1138357.38
2,5,0.831968,1048117.19
2,6,0.784352,1111745.75
2,7,0.772096,1129393.25
2,8,0.765376,1139309.38
2,9,0.754816,1155248.50
2,10,0.766144,1138167.25
2,avg,0.774240,1127134.75
4,1,0.769792,2265547.00
4,2,0.768000,2270833.25
4,3,0.765952,2276905.00
4,4,0.752640,2317176.75
4,5,0.759808,2295316.75
4,6,0.748704,2329358.50
4,7,0.763232,2285019.50
4,8,0.772000,2259067.25
4,9,0.785088,2221407.00
4,10,0.763424,2284445.00
4,avg,0.764864,2280507.50
8,1,0.795584,4384201.00
8,2,0.759808,4590633.50
8,3,0.755712,4615515.00
8,4,0.790528,4412241.00
8,5,0.813056,4289987.50
8,6,0.761856,4578293.00
8,7,0.753664,4628057.00
8,8,0.759488,4592568.00
8,9,0.762848,4572339.50
8,10,0.842944,4137878.50
8,avg,0.779549,4480171.50
16,1,0.773856,9014597.00
16,2,0.774368,9008637.00
16,3,0.753664,9256114.00
16,4,0.749344,9309476.00
16,5,0.756256,9224390.00
16,6,0.765824,9109143.00
16,7,0.767200,9092805.00
16,8,0.768768,9074259.00
16,9,0.782336,8916885.00
16,10,0.748544,9319425.00
16,avg,0.764016,9132574.00
32,1,0.766048,18212958.00
32,2,0.787232,17722858.00
32,3,0.784800,17777778.00
32,4,0.770048,18118350.00
32,5,0.751616,18562670.00
32,6,0.753664,18512228.00
32,7,0.751552,18564252.00
32,8,0.761920,18311634.00
32,9,0.757760,18412164.00
32,10,0.746080,18700408.00
32,avg,0.763072,18289530.00
