num_blocks,trial,time_ms,throughput
1,1,0.297184,1467104.62
1,2,0.184320,2365451.50
1,3,0.195968,2224853.00
1,4,0.180128,2420501.25
1,5,0.176416,2471431.25
1,6,0.187424,2326276.25
1,7,0.182176,2393290.00
1,8,0.179776,2425240.25
1,9,0.165856,2628786.25
1,10,0.170976,2550065.50
1,avg,0.192022,2327300.00
2,1,0.165056,5283055.50
2,2,0.172352,5059413.50
2,3,0.163680,5327468.00
2,4,0.169984,5129895.00
2,5,0.165568,5266718.50
2,6,0.169856,5133760.50
2,7,0.172640,5050973.50
2,8,0.173536,5024894.00
2,9,0.167296,5212318.00
2,10,0.172000,5069767.50
2,avg,0.169197,5155826.50
4,1,0.163584,10661190.00
4,2,0.167936,10384909.00
4,3,0.174080,10018383.00
4,4,0.169984,10259790.00
4,5,0.164416,10607240.00
4,6,0.170944,10202171.00
4,7,0.163328,10677899.00
4,8,0.226240,7708628.00
4,9,0.177088,9848211.00
4,10,0.164096,10627925.00
4,avg,0.174170,10099634.00
8,1,0.180320,19343390.00
8,2,0.174080,20036766.00
8,3,0.168160,20742148.00
8,4,0.178368,19555076.00
8,5,0.184320,18923612.00
8,6,0.182272,19136236.00
8,7,0.165888,21026236.00
8,8,0.182272,19136236.00
8,9,0.171904,20290394.00
8,10,0.172576,20211386.00
8,avg,0.176016,19840150.00
16,1,0.164064,42519988.00
16,2,0.161664,43151228.00
16,3,0.174080,40073532.00
16,4,0.169824,41077820.00
16,5,0.171520,40671644.00
16,6,0.169984,41039160.00
16,7,0.161824,43108560.00
16,8,0.167904,41547552.00
16,9,0.168736,41342692.00
16,10,0.166816,41818532.00
16,avg,0.167642,41635068.00
32,1,0.169984,82078320.00
32,2,0.169888,82124688.00
32,3,0.161792,86234184.00
32,4,0.182592,76410792.00
32,5,0.163840,85156248.00
32,6,0.171488,81358456.00
32,7,0.159872,87269816.00
32,8,0.165888,84104944.00
32,9,0.157760,88438136.00
32,10,0.177280,78700368.00
32,avg,0.168038,83187600.00
