num_blocks,trial,time_ms,throughput
1,1,1.040416,419063.16
1,2,0.749888,581420.12
1,3,0.753664,578507.12
1,4,0.749568,581668.38
1,5,0.743456,586450.31
1,6,0.747456,583311.88
1,7,0.761536,572527.12
1,8,0.741024,588375.00
1,9,0.865184,503939.03
1,10,0.782336,557305.31
1,avg,0.793453,555256.75
2,1,0.986848,883621.38
2,2,0.764896,1140024.25
2,3,0.741472,1176039.00
2,4,0.738848,1180215.75
2,5,0.741760,1175582.38
2,6,0.743424,1172951.12
2,7,0.745216,1170130.50
2,8,0.734688,1186898.50
2,9,0.749152,1163982.75
2,10,0.738752,1180369.00
2,avg,0.768506,1142981.38
4,1,0.756256,2306097.50
4,2,0.762752,2286457.50
4,3,0.743424,2345902.25
4,4,0.743424,2345902.25
4,5,0.751520,2320630.25
4,6,0.747456,2333247.50
4,7,0.940032,1855256.00
4,8,0.777824,2242152.50
4,9,0.740960,2353703.25
4,10,0.735232,2372040.25
4,avg,0.769888,2276138.75
8,1,0.745280,4680120.00
8,2,0.737280,4730903.00
8,3,0.751616,4640667.50
8,4,0.740704,4709033.50
8,5,0.766784,4548869.00
8,6,0.741376,4704765.50
8,7,0.745472,4678914.50
8,8,0.753664,4628057.00
8,9,0.742016,4700707.00
8,10,0.739328,4717797.50
8,avg,0.746352,4673983.00
16,1,0.743872,9377958.00
16,2,0.735360,9486510.00
16,3,0.734400,9498911.00
16,4,0.728896,9570638.00
16,5,0.724768,9625149.00
16,6,0.733024,9516742.00
16,7,0.913408,7637332.00
16,8,0.868320,8033904.50
16,9,0.765952,9107620.00
16,10,0.761376,9162359.00
16,avg,0.770938,9101713.00
32,1,0.730944,19087646.00
32,2,0.745024,18726914.00
32,3,0.743456,18766410.00
32,4,0.745344,18718874.00
32,5,0.737440,18919504.00
32,6,0.743104,18775300.00
32,7,0.731040,19085138.00
32,8,0.734880,18985412.00
32,9,0.730912,19088480.00
32,10,0.737472,18918686.00
32,avg,0.737962,18907236.00
