num_blocks,trial,time_ms,throughput
1,1,0.388416,1122507.88
1,2,0.239616,1819577.88
1,3,0.220096,1980953.75
1,4,0.212992,2047025.25
1,5,0.223232,1953125.00
1,6,0.217088,2008402.12
1,7,0.221152,1971494.75
1,8,0.237664,1834522.62
1,9,0.233856,1864395.25
1,10,0.246464,1769021.00
1,avg,0.244058,1837102.62
2,1,0.221472,3937292.25
2,2,0.209184,4168578.75
2,3,0.231520,3766413.25
2,4,0.217088,4016804.25
2,5,0.212224,4108866.00
2,6,0.237568,3670528.00
2,7,0.238144,3661650.00
2,8,0.237376,3673496.75
2,9,0.225088,3874040.25
2,10,0.217312,4012664.00
2,avg,0.224698,3889033.25
4,1,0.239168,7291945.50
4,2,0.269216,6478070.00
4,3,0.246176,7084362.50
4,4,0.240288,7257957.00
4,5,0.260096,6705216.00
4,6,0.239968,7267635.50
4,7,0.217696,8011171.50
4,8,0.195616,8915426.00
4,9,0.208224,8375595.50
4,10,0.206848,8431312.00
4,avg,0.232330,7581869.00
8,1,0.246432,14154006.00
8,2,0.213472,16339380.00
8,3,0.243328,14334561.00
8,4,0.223200,15627240.00
8,5,0.227680,15319747.00
8,6,0.209088,16681971.00
8,7,0.221696,15733256.00
8,8,0.214496,16261375.00
8,9,0.217024,16071955.00
8,10,0.259456,13443511.00
8,avg,0.227587,15396699.00
16,1,0.258016,27037084.00
16,2,0.260128,26817566.00
16,3,0.250336,27866548.00
16,4,0.246112,28344818.00
16,5,0.235520,29619564.00
16,6,0.229472,30400222.00
16,7,0.270336,25804924.00
16,8,0.260352,26794496.00
16,9,0.241664,28866524.00
16,10,0.235200,29659864.00
16,avg,0.248714,28121162.00
32,1,0.215200,64832712.00
32,2,0.207456,67252816.00
32,3,0.219680,63510564.00
32,4,0.206624,67523616.00
32,5,0.217088,64268868.00
32,6,0.180928,77113544.00
32,7,0.194528,71722328.00
32,8,0.206464,67575944.00
32,9,0.186752,74708704.00
32,10,0.163840,85156248.00
32,avg,0.199856,70366528.00
