num_blocks,trial,time_ms,throughput
1,1,0.301376,1446697.88
1,2,0.182304,2391609.75
1,3,0.165888,2628279.50
1,4,0.176064,2476372.25
1,5,0.174080,2504595.75
1,6,0.171488,2542451.75
1,7,0.185408,2351570.75
1,8,0.179584,2427833.25
1,9,0.181856,2397501.25
1,10,0.181376,2403846.25
1,avg,0.189942,2357076.00
2,1,0.195008,4471611.50
2,2,0.196288,4442452.00
2,3,0.189312,4606153.00
2,4,0.176128,4950945.00
2,5,0.185760,4694229.00
2,6,0.181600,4801762.00
2,7,0.181728,4798380.00
2,8,0.183552,4750697.50
2,9,0.178176,4894037.00
2,10,0.185504,4700707.00
2,avg,0.185306,4711097.50
4,1,0.192512,9059175.00
4,2,0.181792,9593381.00
4,3,0.192512,9059175.00
4,4,0.176128,9901890.00
4,5,0.181376,9615385.00
4,6,0.178048,9795112.00
4,7,0.164864,10578416.00
4,8,0.174080,10018383.00
4,9,0.178208,9786318.00
4,10,0.174144,10014700.00
4,avg,0.179366,9742194.00
8,1,0.185792,18773682.00
8,2,0.178880,19499106.00
8,3,0.182976,19062610.00
8,4,0.186528,18699606.00
8,5,0.174080,20036766.00
8,6,0.180448,19329668.00
8,7,0.175904,19828998.00
8,8,0.165824,21034350.00
8,9,0.173888,20058890.00
8,10,0.169952,20523442.00
8,avg,0.177427,19684712.00
16,1,0.172032,40550596.00
16,2,0.164768,42338320.00
16,3,0.179648,38831496.00
16,4,0.165056,42264444.00
16,5,0.161792,43117092.00
16,6,0.171328,40717224.00
16,7,0.161792,43117092.00
16,8,0.173536,40199152.00
16,9,0.163776,42594764.00
16,10,0.172608,40415276.00
16,avg,0.168634,41414544.00
32,1,0.165024,84545280.00
32,2,0.164832,84643760.00
32,3,0.174912,79765816.00
32,4,0.169984,82078320.00
32,5,0.182272,76544944.00
32,6,0.172032,81101192.00
32,7,0.165888,84104944.00
32,8,0.179744,77621504.00
32,9,0.174080,80147064.00
32,10,0.172000,81116280.00
32,avg,0.172077,81166912.00
