num_blocks,trial,time_ms,throughput
1,1,0.305632,1426552.25
1,2,0.185312,2352788.75
1,3,0.171712,2539135.25
1,4,0.172960,2520814.00
1,5,0.173536,2512447.00
1,6,0.174016,2505516.75
1,7,0.169408,2573668.25
1,8,0.176224,2474123.75
1,9,0.172672,2525018.50
1,10,0.182368,2390770.50
1,avg,0.188384,2382083.50
2,1,0.184096,4736659.50
2,2,0.176480,4941070.00
2,3,0.177056,4924995.50
2,4,0.165824,5258587.50
2,5,0.165888,5256559.00
2,6,0.176864,4930342.00
2,7,0.171456,5085853.00
2,8,0.184160,4735013.50
2,9,0.182272,4784059.00
2,10,0.176128,4950945.00
2,avg,0.176022,4960408.50
4,1,0.172032,10137649.00
4,2,0.171936,10143309.00
4,3,0.171968,10141422.00
4,4,0.173408,10057206.00
4,5,0.181888,9588318.00
4,6,0.175936,9912695.00
4,7,0.178176,9788074.00
4,8,0.184256,9465092.00
4,9,0.172032,10137649.00
4,10,0.173632,10044232.00
4,avg,0.175526,9941564.00
8,1,0.184288,18926896.00
8,2,0.183104,19049284.00
8,3,0.169984,20519580.00
8,4,0.172384,20233896.00
8,5,0.168544,20694894.00
8,6,0.178176,19576148.00
8,7,0.179968,19381222.00
8,8,0.172032,20275298.00
8,9,0.168256,20730316.00
8,10,0.165632,21058734.00
8,avg,0.174237,20044628.00
16,1,0.164896,42305452.00
16,2,0.165984,42028144.00
16,3,0.163776,42594764.00
16,4,0.163840,42578124.00
16,5,0.162880,42829076.00
16,6,0.163872,42569812.00
16,7,0.171872,40588344.00
16,8,0.175936,39650780.00
16,9,0.172096,40535516.00
16,10,0.165888,42052472.00
16,avg,0.167104,41773252.00
32,1,0.163840,85156248.00
32,2,0.163840,85156248.00
32,3,0.163424,85373016.00
32,4,0.163872,85139624.00
32,5,0.163840,85156248.00
32,6,0.163840,85156248.00
32,7,0.163488,85339592.00
32,8,0.178272,78262432.00
32,9,0.165888,84104944.00
32,10,0.164288,84924040.00
32,avg,0.165459,84376872.00
