num_blocks,trial,time_ms,throughput
1,1,21.502497,20276.71
1,2,0.219136,1989632.00
1,3,0.240032,1816424.38
1,4,0.231200,1885813.12
1,5,0.236160,1846206.00
1,6,0.215040,2027529.75
1,7,0.215360,2024517.00
1,8,0.205088,2125916.75
1,9,0.237376,1836748.38
1,10,0.218112,1998973.00
1,avg,2.352000,1757203.62
2,1,0.221888,3929910.50
2,2,0.238208,3660666.25
2,3,0.243712,3577993.75
2,4,0.242368,3597834.75
2,5,0.227904,3826172.25
2,6,0.217728,4004997.00
2,7,0.227200,3838028.25
2,8,0.227328,3835867.25
2,9,0.224256,3888413.25
2,10,0.223232,3906250.00
2,avg,0.229382,3806613.50
4,1,0.230976,7550568.00
4,2,0.246368,7078841.50
4,3,0.241664,7216631.00
4,4,0.198272,8795997.00
4,5,0.205728,8477213.00
4,6,0.227328,7671734.50
4,7,0.232960,7486264.00
4,8,0.239264,7289019.50
4,9,0.235520,7404891.00
4,10,0.218848,7969001.50
4,avg,0.227693,7694016.00
8,1,0.198112,17606202.00
8,2,0.194272,17954208.00
8,3,0.190944,18267136.00
8,4,0.206240,16912336.00
8,5,0.224832,15513806.00
8,6,0.205504,16972906.00
8,7,0.198816,17543858.00
8,8,0.196384,17761120.00
8,9,0.204224,17079284.00
8,10,0.196608,17740886.00
8,avg,0.201594,17335172.00
16,1,0.196960,35418360.00
16,2,0.195008,35772892.00
16,3,0.205920,33877236.00
16,4,0.202944,34374016.00
16,5,0.198656,35115980.00
16,6,0.201056,34696800.00
16,7,0.220896,31580472.00
16,8,0.219104,31838760.00
16,9,0.208512,33456110.00
16,10,0.205664,33919404.00
16,avg,0.205472,34005000.00
32,1,0.219072,63686824.00
32,2,0.225280,61931816.00
32,3,0.221120,63096960.00
32,4,0.175552,79475032.00
32,5,0.170912,81632656.00
32,6,0.167904,83095104.00
32,7,0.157888,88366440.00
32,8,0.169696,82217608.00
32,9,0.167648,83221984.00
32,10,0.169312,82404080.00
32,avg,0.184438,76912856.00
