num_blocks,trial,time_ms,throughput
1,1,0.293856,1483720.00
1,2,0.188608,2311673.00
1,3,0.180224,2419211.75
1,4,0.188416,2314028.50
1,5,0.200704,2172353.50
1,6,0.174464,2499082.75
1,7,0.202752,2150410.50
1,8,0.211520,2061270.75
1,9,0.212000,2056603.75
1,10,0.202304,2155172.50
1,avg,0.205485,2162352.75
2,1,0.183584,4749869.00
2,2,0.188288,4631203.00
2,3,0.176608,4937489.00
2,4,0.194496,4483382.50
2,5,0.194336,4487074.00
2,6,0.212864,4096512.50
2,7,0.204608,4261808.00
2,8,0.201536,4326770.50
2,9,0.180320,4835847.50
2,10,0.210880,4135053.25
2,avg,0.194752,4494501.00
4,1,0.188256,9263981.00
4,2,0.186432,9354617.00
4,3,0.190816,9139695.00
4,4,0.190752,9142761.00
4,5,0.197280,8840227.00
4,6,0.178176,9788074.00
4,7,0.169984,10259790.00
4,8,0.174048,10020224.00
4,9,0.159936,10904362.00
4,10,0.180704,9651142.00
4,avg,0.181638,9636487.00
8,1,0.170464,20461800.00
8,2,0.182272,19136236.00
8,3,0.159712,21839310.00
8,4,0.182016,19163150.00
8,5,0.170656,20438778.00
8,6,0.181984,19166518.00
8,7,0.169984,20519580.00
8,8,0.182272,19136236.00
8,9,0.170464,20461800.00
8,10,0.178848,19502594.00
8,avg,0.174867,19982602.00
16,1,0.183936,37926236.00
16,2,0.181696,38393800.00
16,3,0.159776,43661128.00
16,4,0.182272,38272472.00
16,5,0.159744,43669872.00
16,6,0.171616,40648888.00
16,7,0.204704,34078472.00
16,8,0.193952,35967660.00
16,9,0.167936,41539636.00
16,10,0.194496,35867060.00
16,avg,0.180013,39002520.00
32,1,0.172032,81101192.00
32,2,0.183936,75852472.00
32,3,0.198720,70209344.00
32,4,0.191040,73031832.00
32,5,0.194560,71710520.00
32,6,0.180032,77497336.00
32,7,0.177440,78629392.00
32,8,0.182272,76544944.00
32,9,0.184896,75458632.00
32,10,0.169984,82078320.00
32,avg,0.183491,76211408.00
